Hugo_Symbol,n_mutations,n_patients,n_high_impact,hotspot_count,high_impact_ratio,patient_frequency,hotspot_ratio,patient_frequency_norm,high_impact_ratio_norm,hotspot_ratio_norm,gene_priority_score,log_n_mutations,cluster
NDUFAF4,1,1,1.0,0.0,1.0,0.002415458937198,0.0,0.0,1.0,0.0,0.3,0.6931471805599453,7
ALDH4A1,1,1,1.0,0.0,1.0,0.002415458937198,0.0,0.0,1.0,0.0,0.3,0.6931471805599453,7
ALG10,1,1,1.0,0.0,1.0,0.002415458937198,0.0,0.0,1.0,0.0,0.3,0.6931471805599453,7
ANAPC11,1,1,1.0,0.0,1.0,0.002415458937198,0.0,0.0,1.0,0.0,0.3,0.6931471805599453,7
ZNF511,1,1,1.0,0.0,1.0,0.002415458937198,0.0,0.0,1.0,0.0,0.3,0.6931471805599453,7
ANKRD16,1,1,1.0,0.0,1.0,0.002415458937198,0.0,0.0,1.0,0.0,0.3,0.6931471805599453,7
ANKRD22,1,1,1.0,0.0,1.0,0.002415458937198,0.0,0.0,1.0,0.0,0.3,0.6931471805599453,7
APOL6,1,1,1.0,0.0,1.0,0.002415458937198,0.0,0.0,1.0,0.0,0.3,0.6931471805599453,7
AP5S1,1,1,1.0,0.0,1.0,0.002415458937198,0.0,0.0,1.0,0.0,0.3,0.6931471805599453,7
ZNF425,1,1,1.0,0.0,1.0,0.002415458937198,0.0,0.0,1.0,0.0,0.3,0.6931471805599453,7
ZNF428,1,1,1.0,0.0,1.0,0.002415458937198,0.0,0.0,1.0,0.0,0.3,0.6931471805599453,7
APOL3,1,1,1.0,0.0,1.0,0.002415458937198,0.0,0.0,1.0,0.0,0.3,0.6931471805599453,7
NCR1,1,1,1.0,0.0,1.0,0.002415458937198,0.0,0.0,1.0,0.0,0.3,0.6931471805599453,7
MED8,1,1,1.0,0.0,1.0,0.002415458937198,0.0,0.0,1.0,0.0,0.3,0.6931471805599453,7
MFAP3L,1,1,1.0,0.0,1.0,0.002415458937198,0.0,0.0,1.0,0.0,0.3,0.6931471805599453,7
MIOX,1,1,1.0,0.0,1.0,0.002415458937198,0.0,0.0,1.0,0.0,0.3,0.6931471805599453,7
SLC25A51,1,1,1.0,0.0,1.0,0.002415458937198,0.0,0.0,1.0,0.0,0.3,0.6931471805599453,7
MICOS10,1,1,1.0,0.0,1.0,0.002415458937198,0.0,0.0,1.0,0.0,0.3,0.6931471805599453,7
MID2,1,1,1.0,0.0,1.0,0.002415458937198,0.0,0.0,1.0,0.0,0.3,0.6931471805599453,7
