Hugo_Symbol,n_mutations,n_patients,n_high_impact,hotspot_count,high_impact_ratio,patient_frequency,hotspot_ratio,patient_frequency_norm,high_impact_ratio_norm,hotspot_ratio_norm,gene_priority_score,log_n_mutations,weak_label_driver,ml_driver_probability,hybrid_score
MYT1L,21,21,1.0,0.0,0.0476190476190476,0.0507246376811594,0.0,0.1612903225806453,0.0476190476190476,0.0,0.0949308755760369,3.091042453358316,0,0.97979879660062,0.6258516281907868
MUC17,23,20,3.0,0.0,0.1304347826086956,0.0483091787439613,0.0,0.1532258064516129,0.1304347826086956,0.0,0.1157433380084151,3.1780538303479458,0,0.9790309314644049,0.6337158940820089
SPEG,23,20,3.0,0.0,0.1304347826086956,0.0483091787439613,0.0,0.1532258064516129,0.1304347826086956,0.0,0.1157433380084151,3.1780538303479458,0,0.9790309314644049,0.6337158940820089
DCHS2,22,20,1.0,0.0,0.0454545454545454,0.0483091787439613,0.0,0.1532258064516129,0.0454545454545454,0.0,0.09024926686217,3.1354942159291497,0,0.9786445609596456,0.6232864433206553
TDRD5,21,21,3.0,0.0,0.1428571428571428,0.0507246376811594,0.0,0.1612903225806453,0.1428571428571428,0.0,0.1235023041474654,3.091042453358316,0,0.9781557306343716,0.636294360039609
DNAH2,21,20,0.0,0.0,0.0,0.0483091787439613,0.0,0.1532258064516129,0.0,0.0,0.0766129032258064,3.091042453358316,0,0.977446686234231,0.6171131730308612
ZNF208,21,20,2.0,0.0,0.0952380952380952,0.0483091787439613,0.0,0.1532258064516129,0.0952380952380952,0.0,0.105184331797235,3.091042453358316,0,0.9756170720936819,0.6274439759751032
COL12A1,21,20,3.0,0.0,0.1428571428571428,0.0483091787439613,0.0,0.1532258064516129,0.1428571428571428,0.0,0.1194700460829493,3.091042453358316,0,0.9746487610781391,0.6325772750800631
HYDIN,21,19,0.0,0.0,0.0,0.0458937198067632,0.0,0.1451612903225805,0.0,0.0,0.0725806451612902,3.091042453358316,0,0.9738289294105457,0.6133296157108434
MYO18B,21,19,1.0,0.0,0.0476190476190476,0.0458937198067632,0.0,0.1451612903225805,0.0476190476190476,0.0,0.0868663594470045,3.091042453358316,0,0.9727915868955493,0.6184214959161314
ZNF536,22,19,4.0,0.0,0.1818181818181818,0.0458937198067632,0.0,0.1451612903225805,0.1818181818181818,0.0,0.1271260997067448,3.1354942159291497,0,0.972294159685928,0.6342269356942547
COL5A1,20,20,3.0,0.0,0.15,0.0483091787439613,0.0,0.1532258064516129,0.15,0.0,0.1216129032258064,3.044522437723423,0,0.9719404789631032,0.6318094486681844
SYNE2,20,20,4.0,0.0,0.2,0.0483091787439613,0.0,0.1532258064516129,0.2,0.0,0.1366129032258064,3.044522437723423,0,0.9707739242549759,0.6371095158433081
MUC2,21,19,3.0,0.0,0.1428571428571428,0.0458937198067632,0.0,0.1451612903225805,0.1428571428571428,0.0,0.1154377880184331,3.091042453358316,0,0.9705956931203179,0.628532531079564
MYO3A,20,19,1.0,0.0,0.05,0.0458937198067632,0.0,0.1451612903225805,0.05,0.0,0.0875806451612902,3.044522437723423,0,0.9700074395034815,0.6170367217666048
